School Name,Region,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Stanford University,California,,70.4,129,68.4,93.1,184,257
California Institute of Technology (CIT),California,Engineering,75.5,123,,104,161,
Harvey Mudd College,California,Engineering,71.8,122,,96,180,
University of California Berkeley,California,State,59.9,112,59.5,81,149,201
Occidental College,California,Liberal Arts,51.9,105,,54.8,157,
Cal Poly San Luis Obispo,California,State,57.2,101,55,74.7,133,178
University of California at Los Angeles (UCLA),California,State,52.6,101,51.3,72.5,139,193
University of California San Diego (UCSD),California,State,51.1,101,51.7,75.4,131,177
Pomona College,California,Liberal Arts,48.6,101,,63.3,161,
University of Southern California (USC),California,,54.8,99.6,49.7,73.8,140,201
University of California Davis,California,State,52.3,99.6,52,71.6,135,202
University of California Irvine (UCI),California,State,48.3,96.7,47.8,66,123,172
San Jose State University (SJSU),California,State,53.5,95.6,50.7,70.5,122,156
University of California Santa Barbara (UCSB),California,Party,50.5,95,51.3,71.2,129,173
University of California Santa Barbara (UCSB),California,State,50.5,95,51.3,71.2,129,173
California State University (CSU) Chico,California,State,47.4,88.1,46.8,62.8,122,154
California State University Fullerton (CSUF),California,State,45.7,87,45.4,62.5,119,158
San Francisco State University (SFSU),California,State,47.3,86.4,45.1,62.7,114,150
San Diego State University (SDSU),California,State,46.2,85.2,45.5,61.8,116,158
California State University Long Beach (CSULB),California,State,45.1,84.7,47.4,62.5,113,154
California State University East Bay (CSUEB),California,State,49.2,84.3,46,62.4,115,155
University of California Santa Cruz (UCSC),California,State,44.7,84.1,46.1,62,121,165
California State University Sacramento (CSUS),California,State,47.8,82.4,42.9,59.6,111,154
University of California Riverside (UCR),California,State,46.8,81.3,37.2,59.9,109,134
California State University Northridge (CSUN),California,State,45.5,80.4,44.5,57.8,108,153
California State University Dominguez Hills (CSUDH),California,State,42.7,72.1,30.8,47,92.2,132
California State University (CSU) Stanislaus,California,State,38,71.4,,50.5,94.1,
Humboldt State University,California,State,42.6,71.3,36,56.3,94.4,117
Thomas Aquinas College,California,Liberal Arts,41.5,67.5,,44.6,93.1,
Colorado School of Mines,Western,Engineering,58.1,106,62.2,87.9,142,201
University of Colorado - Boulder (UCB),Western,State,47.1,97.6,51.6,69,128,187
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,Engineering,51,93.4,,67.4,123,
Brigham Young University (BYU),Western,,49.4,88.6,50.6,68.5,119,164
University of Arizona,Western,State,47.5,86.1,44.8,61.7,117,160
University of Washington (UW),Western,State,48.8,85.3,47,59.8,115,149
Washington State University (WSU),Western,State,45.3,84.7,43.6,59,113,162
University of Colorado - Denver,Western,State,46.1,84.4,46.4,58.6,105,144
Arizona State University (ASU),Western,Party,47.4,84.1,44.6,60.7,114,163
Arizona State University (ASU),Western,State,47.4,84.1,44.6,60.7,114,163
Oregon State University (OSU),Western,State,45.1,83.3,46.9,64,113,146
University of Utah,Western,State,45.4,83.2,43,58.4,116,148
University of Nevada Reno (UNR),Western,State,46.5,82.9,41.9,54.6,113,143
Seattle University,Western,,48.3,82.8,50.6,62.4,110,150
University of Idaho,Western,State,44.9,82,43,56.7,104,142
University of New Mexico (UNM),Western,State,41.6,81.6,41.8,59.1,105,141
University of Puget Sound,Western,Liberal Arts,46.6,81.5,48.9,60.1,104,137
